iter	Logloss
0	0.6776797037
1	0.6642162009
2	0.650577832
3	0.6391612592
4	0.6269938502
5	0.6158382308
6	0.6060664355
7	0.5958326112
8	0.5870324065
9	0.5773540255
10	0.5694844555
11	0.5613355874
12	0.5540004762
13	0.5464133453
14	0.539272626
15	0.5336918607
16	0.5287571683
17	0.5223883224
18	0.5170994855
19	0.5122276984
20	0.507128794
21	0.5022059782
22	0.4979251113
23	0.4937098462
24	0.4898836102
25	0.486195464
26	0.4831036627
27	0.4797111012
28	0.4761092754
29	0.472715534
30	0.469649384
31	0.4668443056
32	0.4647225341
33	0.4624026169
34	0.460648867
35	0.4583753198
36	0.456285361
37	0.4546484309
38	0.4527312967
39	0.4508771593
40	0.4493585764
41	0.4474955415
42	0.4457996393
43	0.4438647645
44	0.4423629045
45	0.4405330763
46	0.4391492657
47	0.4376881998
48	0.4364823534
49	0.4353170843
50	0.4340495748
51	0.4328514979
52	0.43160277
53	0.4307769373
54	0.4297404521
55	0.4287357627
56	0.4277483924
57	0.4266625667
58	0.425765374
59	0.4248848325
60	0.4242098972
61	0.423176563
62	0.4220997235
63	0.4212739253
64	0.4204851522
65	0.4199152013
66	0.4191935849
67	0.4183362144
68	0.4175702911
69	0.4167667938
70	0.4161433908
71	0.4152759231
72	0.4146332025
73	0.4139377199
74	0.4132667689
75	0.4126891038
76	0.412498186
77	0.4119411226
78	0.4114760028
79	0.4109254608
80	0.4101188544
81	0.4097511307
82	0.4092997617
83	0.4089154637
84	0.4083167934
85	0.4079854477
86	0.407523912
87	0.4069532015
88	0.4066062871
89	0.4062943979
90	0.4059067951
91	0.4055502682
92	0.4050345872
93	0.4048260684
94	0.4043132366
95	0.4039040637
96	0.4034613039
97	0.4030114614
98	0.4027299892
99	0.4021594106
100	0.4018481054
101	0.4014460313
102	0.4011329886
103	0.4007293588
104	0.4003503198
105	0.4000803945
106	0.3996464544
107	0.399355524
108	0.3988528754
109	0.3984917716
110	0.3983173207
111	0.3979506132
112	0.3975776909
113	0.3972386783
114	0.3970160773
115	0.3965757582
116	0.3962492775
117	0.3961398089
118	0.3958184257
119	0.3956554032
120	0.3953748109
121	0.395105215
122	0.3947501264
123	0.3944095752
124	0.39406153
125	0.3938705834
126	0.3936697109
