iter	Passed	Remaining
402	10309	15271
403	10337	15249
404	10360	15221
405	10388	15198
406	10413	15173
407	10437	15144
408	10474	15135
409	10506	15119
410	10534	15097
411	10561	15072
412	10587	15047
413	10615	15025
414	10643	15003
415	10670	14979
416	10699	14959
417	10726	14935
418	10753	14910
419	10777	14883
420	10802	14857
421	10827	14830
422	10851	14802
423	10876	14775
424	10899	14747
425	10921	14716
426	10943	14685
427	10966	14655
428	10986	14622
429	11009	14594
430	11036	14570
431	11058	14540
432	11082	14511
433	11106	14483
434	11131	14458
435	11157	14433
436	11179	14403
437	11206	14378
438	11232	14354
439	11257	14328
440	11284	14304
441	11311	14280
442	11336	14253
443	11359	14225
444	11383	14196
445	11408	14171
446	11435	14146
447	11462	14123
448	11489	14099
449	11515	14074
450	11538	14045
451	11561	14016
452	11584	13988
453	11609	13961
454	11635	13937
455	11664	13915
456	11691	13891
457	11718	13867
458	11743	13841
459	11767	13814
460	11792	13787
461	11815	13759
462	11839	13731
463	11864	13706
464	11890	13680
465	11913	13652
466	11934	13621
467	11959	13594
468	11985	13570
469	12008	13541
470	12031	13512
471	12056	13487
472	12080	13459
473	12105	13433
474	12127	13403
475	12154	13380
476	12181	13355
477	12207	13331
478	12233	13305
479	12259	13280
480	12286	13257
481	12311	13231
482	12334	13202
483	12357	13174
484	12380	13146
485	12404	13118
486	12428	13091
487	12455	13067
488	12480	13041
489	12510	13021
490	12538	12998
491	12565	12974
492	12589	12947
493	12612	12918
494	12637	12892
495	12663	12867
496	12691	12844
497	12717	12819
498	12741	12792
499	12766	12766
500	12793	12742
501	12822	12720
502	12846	12693
503	12874	12669
504	12898	12643
505	12924	12617
506	12949	12592
507	12975	12566
508	13000	12540
509	13025	12514
510	13052	12490
511	13074	12461
512	13097	12433
513	13123	12408
514	13148	12383
515	13170	12353
516	13191	12324
517	13213	12295
518	13239	12270
519	13262	12242
520	13285	12214
521	13309	12187
522	13342	12168
523	13364	12140
524	13385	12111
525	13408	12083
526	13432	12056
527	13455	12028
528	13477	11999
529	13501	11972
530	13525	11945
531	13550	11920
532	13576	11895
533	13602	11870
534	13625	11842
535	13653	11819
536	13685	11799
537	13716	11779
538	13746	11757
539	13776	11735
540	13805	11712
541	13834	11690
542	13864	11668
543	13892	11645
544	13920	11621
545	13947	11597
546	13975	11573
547	14003	11550
548	14026	11522
549	14054	11498
550	14083	11476
551	14114	11454
552	14137	11427
553	14166	11405
554	14192	11379
555	14219	11355
556	14249	11332
557	14275	11307
558	14301	11282
559	14327	11257
560	14354	11232
561	14380	11207
562	14406	11182
563	14437	11160
564	14464	11136
565	14490	11110
566	14521	11089
567	14548	11064
568	14576	11040
569	14605	11018
570	14633	10994
571	14655	10966
572	14682	10941
573	14725	10928
574	14753	10905
575	14782	10881
576	14813	10859
577	14840	10835
578	14868	10811
579	14894	10785
580	14922	10761
581	14948	10736
582	14972	10709
583	14996	10682
584	15019	10654
585	15044	10628
586	15069	10602
587	15095	10576
588	15119	10550
589	15144	10523
590	15168	10497
591	15290	10538
592	15316	10512
593	15348	10490
594	15377	10467
595	15401	10440
596	15429	10415
597	15456	10390
598	15483	10365
599	15509	10339
600	15534	10313
601	15559	10286
602	15582	10258
603	15604	10230
604	15626	10202
605	15648	10174
606	15672	10146
607	15694	10118
608	15715	10089
609	15738	10062
610	15762	10035
611	15791	10011
612	15818	9986
613	15845	9961
614	15874	9937
615	15901	9912
616	15926	9886
617	15947	9857
618	15972	9831
619	15998	9805
620	16027	9781
621	16055	9757
622	16081	9731
623	16108	9706
624	16133	9680
625	16158	9654
626	16186	9629
627	16214	9604
628	16239	9578
629	16266	9553
630	16291	9527
631	16315	9500
632	16341	9474
633	16367	9448
634	16393	9422
635	16415	9395
636	16443	9370
637	16470	9345
638	16492	9317
639	16520	9292
640	16543	9265
641	16568	9239
642	16591	9211
643	16613	9183
644	16636	9156
645	16660	9129
646	16683	9102
647	16707	9075
648	16731	9049
649	16752	9020
650	16777	8994
651	16800	8967
652	16822	8939
653	16846	8912
654	16868	8885
655	16891	8857
656	16914	8830
657	16939	8804
658	16968	8780
659	16993	8754
660	17018	8728
661	17046	8703
662	17072	8677
663	17101	8653
664	17124	8626
665	17151	8601
666	17176	8575
667	17203	8550
668	17225	8522
669	17249	8496
670	17274	8469
671	17302	8445
672	17329	8419
673	17354	8394
674	17382	8369
675	17410	8344
676	17436	8318
677	17463	8293
678	17490	8268
679	17519	8244
680	17549	8220
681	17578	8196
682	17607	8171
683	17635	8147
684	17663	8122
685	17693	8098
686	17722	8074
687	17752	8050
688	17781	8026
689	17815	8003
690	17846	7980
691	17875	7955
692	17904	7931
693	17932	7906
694	17961	7882
695	17985	7855
696	18006	7827
697	18030	7801
698	18051	7773
699	18072	7745
700	18092	7717
701	18117	7690
702	18142	7664
703	18166	7638
704	18191	7611
705	18215	7585
706	18238	7558
707	18261	7531
708	18284	7504
709	18309	7478
710	18334	7452
711	18355	7424
712	18378	7397
713	18400	7370
714	18426	7344
715	18453	7319
716	18482	7295
717	18508	7269
718	18534	7243
719	18564	7219
720	18591	7194
721	18616	7168
722	18640	7141
723	18666	7116
724	18693	7090
725	18716	7063
726	18738	7036
727	18761	7009
728	18783	6982
729	18806	6955
730	18827	6928
731	18850	6901
732	18873	6874
733	18896	6848
734	18921	6822
735	18948	6796
736	18975	6771
737	18999	6745
738	19024	6719
739	19045	6691
740	19071	6665
741	19096	6640
742	19120	6613
743	19144	6587
744	19170	6561
745	19196	6535
746	19220	6509
747	19241	6482
748	19263	6455
749	19288	6429
750	19310	6402
751	19332	6375
752	19356	6349
753	19379	6322
754	19406	6297
755	19430	6271
756	19451	6243
757	19473	6217
758	19495	6190
759	19523	6165
760	19550	6140
761	19576	6114
762	19601	6088
763	19631	6064
764	19658	6038
765	19683	6012
766	19709	5987
767	19744	5964
768	19770	5938
769	19793	5912
770	19818	5886
771	19856	5864
772	19887	5840
773	19917	5815
774	19943	5790
775	19970	5764
776	19995	5738
777	20022	5713
778	20051	5688
779	20074	5662
780	20100	5636
781	20134	5612
782	20160	5587
783	20188	5562
784	20213	5536
785	20239	5510
786	20261	5483
787	20284	5457
788	20306	5430
789	20332	5404
790	20354	5378
791	20380	5352
792	20401	5325
793	20426	5299
794	20452	5273
795	20477	5248
796	20502	5221
797	20522	5195
798	20543	5168
799	20567	5141
800	20591	5115
801	20614	5089
802	20641	5063
803	20666	5038
804	20690	5011
805	20714	4985
806	20739	4959
807	20766	4934
808	20795	4909
809	20822	4884
810	20849	4858
811	20875	4833
812	20899	4807
813	20924	4781
814	20946	4754
815	20967	4727
816	20990	4701
817	21016	4676
818	21038	4649
819	21059	4622
820	21081	4596
821	21104	4570
822	21130	4544
823	21153	4518
824	21186	4494
825	21213	4468
826	21234	4442
827	21256	4415
828	21279	4389
829	21301	4362
830	21326	4337
831	21350	4311
832	21370	4284
833	21397	4258
834	21426	4233
835	21451	4208
836	21475	4182
837	21501	4156
838	21527	4130
839	21552	4105
840	21580	4080
841	21607	4054
842	21635	4029
843	21663	4004
844	21691	3978
845	21721	3953
846	21751	3929
847	21777	3903
848	21801	3877
849	21824	3851
850	21850	3825
851	21877	3800
852	21902	3774
853	21932	3749
854	21961	3724
855	21990	3699
856	22019	3674
857	22049	3649
858	22080	3624
859	22110	3599
860	22136	3573
861	22166	3548
862	22195	3523
863	22224	3498
864	22250	3472
865	22280	3447
866	22310	3422
867	22337	3396
868	22364	3371
869	22391	3345
870	22412	3319
871	22436	3293
872	22463	3267
873	22490	3242
874	22518	3216
875	22548	3191
876	22580	3166
877	22612	3141
878	22636	3116
879	22660	3090
880	22684	3064
881	22710	3038
882	22736	3012
883	22762	2986
884	22792	2961
885	22823	2936
886	22852	2911
887	22881	2885
888	22912	2860
889	22942	2835
890	22971	2810
891	23000	2784
892	23032	2759
893	23064	2734
894	23093	2709
895	23124	2684
896	23155	2658
897	23183	2633
898	23212	2607
899	23243	2582
900	23269	2556
901	23299	2531
902	23328	2505
903	23357	2480
904	23385	2454
905	23412	2429
906	23439	2403
907	23464	2377
908	23494	2352
909	23523	2326
910	23555	2301
911	23583	2275
912	23610	2249
913	23642	2224
914	23672	2199
915	23703	2173
916	23734	2148
917	23765	2122
918	23794	2097
919	23824	2071
920	23854	2046
921	23887	2020
922	23916	1995
923	23945	1969
924	23974	1943
925	24005	1918
926	24032	1892
927	24061	1866
928	24091	1841
929	24122	1815
930	24151	1789
931	24187	1764
932	24216	1738
933	24246	1713
934	24272	1687
935	24294	1661
936	24323	1635
937	24354	1609
938	24384	1584
939	24415	1558
940	24443	1532
941	24475	1506
942	24505	1481
943	24535	1455
944	24565	1429
945	24594	1403
946	24624	1378
947	24654	1352
948	24683	1326
949	24712	1300
950	24739	1274
951	24768	1248
952	24797	1222
953	24820	1196
954	24843	1170
955	24869	1144
956	24891	1118
957	24915	1092
958	24941	1066
959	24970	1040
960	24998	1014
961	25023	988
962	25055	962
963	25083	936
964	25114	910
965	25143	884
966	25173	859
967	25202	833
968	25227	807
969	25257	781
970	25287	755
971	25316	729
972	25345	703
973	25375	677
974	25401	651
975	25424	625
976	25444	599
977	25467	572
978	25496	546
979	25530	521
980	25558	495
981	25579	468
982	25601	442
983	25620	416
984	25644	390
985	25673	364
986	25702	338
987	25732	312
988	25760	286
989	25786	260
990	25816	234
991	25845	208
992	25882	182
993	25911	156
994	25932	130
995	25954	104
996	25979	78
997	26002	52
998	26025	26
999	26049	0
